year,make,brand,body,transmission,state,qty sold,mileage,outer color,interior color,seller,costprice,sellingprice,salemonth
2002,Toyota,Camry Solara,Coupe,automatic,nj,0,160586,silver,â€”,feretti motors,3075,1700,Dec
2002,Toyota,Camry,Sedan,automatic,ga,0,205649,white,gray,lewis page auto brokers,2500,3000,Dec
2002,Toyota,Avalon,Sedan,automatic,il,0,125319,silver,â€”,hawks collision repair center inc,3450,2900,Dec
2002,Toyota,Camry,Sedan,automatic,il,0,166483,silver,â€”,mc grath honda,2875,2900,Dec
2002,Toyota,Camry,Sedan,automatic,ny,0,174072,beige,gray,b & b auto sales llc,3050,2200,Dec
2002,Toyota,Camry,Sedan,automatic,ga,44,111527,silver,gray,wells fargo dealer services,3400,3200,Dec
2002,Toyota,Camry,Sedan,automatic,ga,25,177346,black,gray,toyota of greenville,2800,3500,Dec
2002,Toyota,Camry,Sedan,automatic,ny,0,157182,black,tan,della honda,2950,1950,Dec
2002,Toyota,Camry,Sedan,automatic,fl,0,31312,silver,gray,clearwater toyota,4175,3200,Dec
2002,Toyota,Camry,Sedan,automatic,nv,0,78824,silver,â€”,lexus of las vegas,3300,5800,Dec
2002,Toyota,Camry,Sedan,automatic,il,0,187709,gray,â€”,primo motor cars,2150,3000,Dec
2002,Toyota,Camry,Sedan,automatic,nv,2,221264,white,â€”,automotive remarketing inc,2525,2600,Dec
2002,Toyota,Avalon,Sedan,automatic,il,0,189089,red,â€”,primo motor cars,2425,2400,Dec
2002,Toyota,Avalon,Sedan,automatic,va,0,186725,beige,â€”,sports and imports inc,2475,3400,Dec
2002,Toyota,Avalon,Sedan,automatic,fl,2,166089,white,beige,fiserv/independent bank,3250,2100,Dec
2002,Toyota,Camry,Sedan,automatic,az,0,,blue,gray,findlay honda flagstaff,3700,4650,Dec
2002,Toyota,Camry,Sedan,automatic,nj,0,150092,silver,â€”,hi class auto sales inc,3550,3300,Dec
2002,Toyota,Camry,Sedan,automatic,va,41,124446,blue,gray,mcmb financial,3275,4600,Dec
2002,Toyota,Camry,Sedan,automatic,il,0,1,gray,â€”,grossinger city toyota,3000,2850,Dec
2002,Toyota,Camry,Sedan,automatic,hi,0,132558,white,â€”,big brother big sister foundation inc,2725,1600,Dec
2002,Toyota,Camry,Sedan,automatic,fl,0,201484,blue,gray,florida avenue cars inc,2525,1500,Dec
2002,Toyota,Camry,Sedan,automatic,nj,0,159533,white,â€”,american bodywork & collision,2925,2000,Dec
2002,Toyota,Camry,Sedan,automatic,tx,0,143204,beige,tan,durant toyota,3100,4200,Dec
2002,Toyota,Highlander,SUV,automatic,ga,19,165856,blue,tan,nalley toyota of roswell,4975,4700,Dec
2002,Toyota,Corolla,Sedan,automatic,fl,0,181911,silver,gray,crown hyundai,1500,1300,Dec
2002,Toyota,Tacoma,Xtracab,automatic,nv,0,210023,silver,â€”,jersey's auto sales,5375,5300,Dec
2002,Toyota,Camry,Sedan,automatic,ga,0,168817,white,beige,redline auto brokers llc,2825,3500,Dec
2002,Toyota,Corolla,Sedan,automatic,fl,19,105515,white,gray,coggin chevrolet at the avenues,2175,2300,Dec
2002,Toyota,Sienna,Minivan,automatic,mn,0,140547,gold,tan,harry browns family automotive,2900,1800,Dec
2002,Toyota,Tacoma,Regular Cab,manual,fl,0,251289,white,gray,enterprise fm exchange/tra/lease,1775,1700,Dec
2002,Toyota,Sienna,Minivan,automatic,nj,0,169838,green,beige,after 5 motors inc,2050,1600,Dec
2002,Toyota,Sienna,Minivan,automatic,va,35,218603,silver,gray,joyce koons honda buick gmc,2675,2500,Dec
2002,Toyota,Highlander,SUV,automatic,nc,32,188330,blue,beige,karz direct inc,4625,5800,Dec
2002,Toyota,ECHO,Coupe,manual,fl,19,123069,green,â€”,courtesy toyota of brandon,1650,2100,Dec
2002,Toyota,Camry,Sedan,automatic,nv,2,1,gold,â€”,automotive remarketing inc,4550,3400,Feb
2002,Toyota,Highlander,SUV,automatic,nj,0,156361,green,â€”,mallen enterprises inc,5075,4300,Dec
2002,Toyota,Tacoma,Xtracab,automatic,ga,19,63265,silver,gray,cameron motor sports,7900,7700,Dec
2002,Toyota,Sienna,Minivan,automatic,tx,0,117875,gold,tan,autonation toyota north arlington,3050,2750,Dec
2002,Toyota,Corolla,Sedan,automatic,ca,0,192674,beige,beige,lithia nissan of fresno,1400,2100,Dec
2002,Toyota,Sienna,Minivan,automatic,or,27,181072,beige,tan,hertz remarketing,1925,2200,Dec
2002,Toyota,Tacoma,Xtracab,automatic,fl,0,78616,red,â€”,global auto group inc,7625,8700,Dec
2002,Toyota,Sienna,Minivan,automatic,va,19,173672,silver,blue,toyota of stafford,3325,2900,Dec
2002,Toyota,Corolla,Sedan,automatic,va,35,151605,white,black,lance adams auto sales llc,1700,3000,Dec
2002,Toyota,Highlander,SUV,automatic,az,0,174049,blue,gray,findlay toyota flagstaff,5350,1825,Dec
2002,Toyota,Corolla,Sedan,automatic,tx,3,158162,black,black,purple heart,1650,1400,Dec
2002,Toyota,Highlander,SUV,automatic,nj,35,64253,blue,gray,lester glenn buick,6450,6200,Feb
2002,Toyota,Highlander,SUV,automatic,mn,36,166740,beige,tan,motorwerks bmw,5650,5600,Dec
2002,Toyota,Sienna,Minivan,automatic,mn,0,152525,white,gray,alecs auto llc,3475,2000,Dec
2002,Toyota,Corolla,Sedan,automatic,il,0,112344,turquoise,â€”,grossinger city toyota,2100,1600,Dec
2002,Toyota,Sienna,Minivan,automatic,nv,0,208515,beige,â€”,stephen wade toyota,3100,2550,Dec
2002,Toyota,Camry,Sedan,automatic,va,19,170460,silver,gray,browns alexandria mazda,2800,2500,Dec
2002,Toyota,Corolla,Sedan,automatic,nv,2,92922,green,â€”,la sierra auto sales,2275,1200,Dec
2002,Toyota,Prius,Sedan,automatic,wa,0,,white,â€”,405 motors,1825,1200,Dec
2002,Toyota,Highlander,SUV,automatic,la,0,99522,blue,â€”,courtesy toyota,5875,7300,Dec
