year,make,model,trim,body,transmission,vin,state,qty sold,odometer,color,interior,seller,mmr,sellingprice,saledate
2002,BMW,X5,3.0i,SUV,automatic,5uxfa53582lp32923,nc,0,158420,white,tan,triangle auto sales inc,3575,3200,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f220070049,tx,2,119896,black,black,automotive services finance,7575,4600,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2002,Lexus,SC 430,Base,Convertible,automatic,jthfn48y820035335,az,0,128864,purple,beige,airpark motorcars llc,7775,8900,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f320055396,tx,0,38159,black,gray,lewisville mitsubishi,9500,11700,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f820069021,fl,27,63001,silver,beige,the collection,9300,8600,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f720069396,fl,26,91780,black,tan,lauderdale imports ltd bmw pembrok pines,8100,9900,Fri Dec 19 2014 09:35:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjhf10u220265402,fl,0,141977,gray,beige,napleton's hyundai,5000,5300,Thu Dec 18 2014 10:15:00 GMT-0800 (PST)
2002,Land Rover,Freelander,SE,SUV,,salny22252a392648,va,0,114253,burgundy,—,superior autos int,1150,750,Thu Dec 18 2014 11:50:00 GMT-0800 (PST)
2002,Lexus,ES 300,Base,Sedan,,jthbf30gx20019811,oh,1,150629,silver,gray,select remarketing group llc/loan max title,4175,2550,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjgf10ux20136576,ga,25,137474,beige,tan,germain lexus,5425,5300,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjhf10u820243016,fl,0,61853,white,beige,coconut creek auto mall,6250,8100,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f620084892,fl,28,125155,gold,tan,johnson lexus of raleigh,7675,8100,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f220083206,nc,19,198881,gold,gray,professional financial services/charlotte,5200,4900,Tue Jan 06 2015 01:15:00 GMT-0800 (PST)
2002,land rover,discovery,series ii,,,saltw154x2a748130,nv,0,120356,beige,—,free auto sales llc,1525,800,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2002,Lexus,ES 300,Base,Sedan,automatic,jthbf30g920060690,ny,0,155170,gray,gray,abs,4100,2650,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2002,Lexus,ES 300,Base,Sedan,automatic,jthbf30g520066907,ny,0,108092,black,tan,eckert auto,5000,5100,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2002,Lexus,ES 300,Base,Sedan,automatic,jthbf30g125026603,ga,23,115110,silver,tan,nalley lexus smyrna,4875,5400,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2002,Lexus,ES 300,Base,Sedan,automatic,jthbf30g620030675,wa,43,124410,white,tan,remarketing by ge/archibalds inc,4775,4900,Wed Jan 14 2015 04:00:00 GMT-0800 (PST)
2002,Lexus,ES 300,Base,Sedan,,jthbf30g325017255,md,0,154442,silver,—,sheehy honda,4125,4000,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2002,Lexus,IS 300,Base,Sedan,automatic,jthbd192120051533,wa,21,126448,white,black,lexus of seattle llc,4525,5700,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f920090301,ca,0,232857,silver,—,mountain motors inc,5000,4500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
